Name,Core Voltage,LEs,User I/Os,Memory Bits,Embedded multiplier 9-bit elements,PLL,Global Clocks
EP2C5AF256A7,1.2V,4608,158,119808,26,2,8
EP2C5AF256I8,1.2V,4608,158,119808,26,2,8
EP2C5AT144A7,1.2V,4608,89,119808,26,2,8
EP2C5F256C6,1.2V,4608,158,119808,26,2,8
EP2C5F256C7,1.2V,4608,158,119808,26,2,8
EP2C5F256C8,1.2V,4608,158,119808,26,2,8
EP2C5F256I8,1.2V,4608,158,119808,26,2,8
EP2C5Q208C7,1.2V,4608,142,119808,26,2,8
EP2C5Q208C8,1.2V,4608,142,119808,26,2,8
EP2C5Q208I8,1.2V,4608,142,119808,26,2,8
EP2C5T144C6,1.2V,4608,89,119808,26,2,8
EP2C5T144C7,1.2V,4608,89,119808,26,2,8
EP2C5T144C8,1.2V,4608,89,119808,26,2,8
EP2C5T144I8,1.2V,4608,89,119808,26,2,8
EP2C8AF256A7,1.2V,8256,182,165888,36,2,8
EP2C8AF256I8,1.2V,8256,182,165888,36,2,8
EP2C8F256C6,1.2V,8256,182,165888,36,2,8
EP2C8F256C7,1.2V,8256,182,165888,36,2,8
EP2C8F256C8,1.2V,8256,182,165888,36,2,8
EP2C8F256I8,1.2V,8256,182,165888,36,2,8
EP2C8Q208C7,1.2V,8256,138,165888,36,2,8
EP2C8Q208C8,1.2V,8256,138,165888,36,2,8
EP2C8Q208I8,1.2V,8256,138,165888,36,2,8
EP2C8T144C6,1.2V,8256,85,165888,36,2,8
EP2C8T144C7,1.2V,8256,85,165888,36,2,8
EP2C8T144C8,1.2V,8256,85,165888,36,2,8
EP2C8T144I8,1.2V,8256,85,165888,36,2,8
EP2C15AF256A7,1.2V,14448,152,239616,52,4,16
EP2C15AF256C6,1.2V,14448,152,239616,52,4,16
EP2C15AF256C7,1.2V,14448,152,239616,52,4,16
EP2C15AF256C8,1.2V,14448,152,239616,52,4,16
EP2C15AF256I8,1.2V,14448,152,239616,52,4,16
EP2C15AF484A7,1.2V,14448,315,239616,52,4,16
EP2C15AF484C6,1.2V,14448,315,239616,52,4,16
EP2C15AF484C7,1.2V,14448,315,239616,52,4,16
EP2C15AF484C8,1.2V,14448,315,239616,52,4,16
EP2C15AF484I8,1.2V,14448,315,239616,52,4,16
EP2C20AF256A7,1.2V,18752,152,239616,52,4,16
EP2C20AF256I8,1.2V,18752,152,239616,52,4,16
EP2C20AF484A7,1.2V,18752,315,239616,52,4,16
EP2C20AF484I8,1.2V,18752,315,239616,52,4,16
EP2C20F256C6,1.2V,18752,152,239616,52,4,16
EP2C20F256C7,1.2V,18752,152,239616,52,4,16
EP2C20F256C8,1.2V,18752,152,239616,52,4,16
EP2C20F256I8,1.2V,18752,152,239616,52,4,16
EP2C20F484C6,1.2V,18752,315,239616,52,4,16
EP2C20F484C7,1.2V,18752,315,239616,52,4,16
EP2C20F484C8,1.2V,18752,315,239616,52,4,16
EP2C20F484I8,1.2V,18752,315,239616,52,4,16
EP2C20Q240C8,1.2V,18752,142,239616,52,4,16
EP2C35F484C6,1.2V,33216,322,483840,70,4,16
EP2C35F484C7,1.2V,33216,322,483840,70,4,16
EP2C35F484C8,1.2V,33216,322,483840,70,4,16
EP2C35F484I8,1.2V,33216,322,483840,70,4,16
EP2C35F672C6,1.2V,33216,475,483840,70,4,16
EP2C35F672C7,1.2V,33216,475,483840,70,4,16
EP2C35F672C8,1.2V,33216,475,483840,70,4,16
EP2C35F672I8,1.2V,33216,475,483840,70,4,16
EP2C35U484C6,1.2V,33216,322,483840,70,4,16
EP2C35U484C7,1.2V,33216,322,483840,70,4,16
EP2C35U484C8,1.2V,33216,322,483840,70,4,16
EP2C35U484I8,1.2V,33216,322,483840,70,4,16
EP2C50F484C6,1.2V,50528,294,594432,172,4,16
EP2C50F484C7,1.2V,50528,294,594432,172,4,16
EP2C50F484C8,1.2V,50528,294,594432,172,4,16
EP2C50F484I8,1.2V,50528,294,594432,172,4,16
EP2C50F672C6,1.2V,50528,450,594432,172,4,16
EP2C50F672C7,1.2V,50528,450,594432,172,4,16
EP2C50F672C8,1.2V,50528,450,594432,172,4,16
EP2C50F672I8,1.2V,50528,450,594432,172,4,16
EP2C50U484C6,1.2V,50528,294,594432,172,4,16
EP2C50U484C7,1.2V,50528,294,594432,172,4,16
EP2C50U484C8,1.2V,50528,294,594432,172,4,16
EP2C50U484I8,1.2V,50528,294,594432,172,4,16
EP2C70F672C6,1.2V,68416,422,1152000,300,4,16
EP2C70F672C7,1.2V,68416,422,1152000,300,4,16
EP2C70F672C8,1.2V,68416,422,1152000,300,4,16
EP2C70F672I8,1.2V,68416,422,1152000,300,4,16
EP2C70F896C6,1.2V,68416,622,1152000,300,4,16
EP2C70F896C7,1.2V,68416,622,1152000,300,4,16
EP2C70F896C8,1.2V,68416,622,1152000,300,4,16
EP2C70F896I8,1.2V,68416,622,1152000,300,4,16
